date,time,route
13/08,00:10:06,Full soap box derby route
03/09,00:11:55,Full soap box derby route
03/09,00:11:59,Full soap box derby route
22/08,00:12:13,Full soap box derby route
31/08,00:12:59,Full soap box derby route
19/08,00:13:29,Full soap box derby route
25/08,00:13:37,Full soap box derby route
12/08,00:13:50,Full soap box derby route
24/08,00:14:09,Full soap box derby route
15/08,00:14:25,Full soap box derby route
24/08,00:14:29,Full soap box derby route
19/08,00:14:33,Full soap box derby route
10/08,00:14:49,Full soap box derby route
25/08,00:16:13,Full soap box derby route
