date,time,route
05/08,00:14:00,Full soap box derby route
09/08,00:14:00,Full soap box derby route
25/08,00:14:30,Full soap box derby route
02/08,00:15:00,Full soap box derby route
02/08,00:15:00,Full soap box derby route
10/08,00:15:00,Full soap box derby route
12/08,00:15:00,Full soap box derby route
30/08,00:15:00,Full soap box derby route
05/08,00:15:30,Full soap box derby route
10/08,00:15:30,Full soap box derby route
18/08,00:15:30,Full soap box derby route
25/08,00:15:35,Full soap box derby route
30/08,00:15:40,Full soap box derby route
12/08,00:16:00,Full soap box derby route
18/08,00:16:00,Full soap box derby route
21/08,00:16:00,Full soap box derby route
21/08,00:16:20,Full soap box derby route
21/08,00:16:30,Full soap box derby route
12/08,00:17:00,Full soap box derby route
